"School","Subject","StudentID","Gender","Country","Score"
"Hangzhou Xuejun Middle School","History",1,"Male","China",98
"Jingling High School","History",1,"Male","China",66
"Shanghai High School","History",1,"Male","China",62
"Shenzhen International Exchange School","History",1,"Male","China",77
"Andover Regional High School","History",1,"Male","USA",2
"Newton South High School","History",1,"Male","USA",100
"Phillips Academy","History",1,"Male","USA",24
"Action Boxborough Regional High School","History",1,"Male","USA",31
"Woburn Regional High School","History",1,"Male","USA",55
"Beijing No 4 Middle School","English",2,"Male","China",73
"Hangzhou Xuejun Middle School","English",2,"Male","China",65
"Jingling High School","English",2,"Male","China",59
"Shanghai High School","English",2,"Male","China",71
"Shenzhen International Exchange School","English",2,"Male","China",79
"Andover Regional High School","English",2,"Male","USA",60
"Newton South High School","English",2,"Male","USA",31
"Phillips Academy","English",2,"Male","USA",45
"Action Boxborough Regional High School","English",2,"Male","USA",30
"Woburn Regional High School","English",2,"Male","USA",74
"Beijing No 4 Middle School","Math",2,"Male","China",100
"Hangzhou Xuejun Middle School","Math",2,"Male","China",73
"Jingling High School","Math",2,"Male","China",78
"Shanghai High School","Math",2,"Male","China",98
"Shenzhen International Exchange School","Math",2,"Male","China",78
"Andover Regional High School","Math",2,"Male","USA",60
"Newton South High School","Math",2,"Male","USA",55
"Phillips Academy","Math",2,"Male","USA",49
"Action Boxborough Regional High School","Math",2,"Male","USA",58
"Woburn Regional High School","Math",2,"Male","USA",67
"Beijing No 4 Middle School","Physical Education",2,"Male","China",79
"Hangzhou Xuejun Middle School","Physical Education",2,"Male","China",97
"Jingling High School","Physical Education",2,"Male","China",58
"Shanghai High School","Physical Education",2,"Male","China",75
"Shenzhen International Exchange School","Physical Education",2,"Male","China",61
"Andover Regional High School","Physical Education",2,"Male","USA",91
"Newton South High School","Physical Education",2,"Male","USA",66
"Phillips Academy","Physical Education",2,"Male","USA",85
"Action Boxborough Regional High School","Physical Education",2,"Male","USA",53
"Woburn Regional High School","Physical Education",2,"Male","USA",61
"Beijing No 4 Middle School","Science",2,"Male","China",73
"Hangzhou Xuejun Middle School","Science",2,"Male","China",55
"Jingling High School","Science",2,"Male","China",64
"Shanghai High School","Science",2,"Male","China",90
"Shenzhen International Exchange School","Science",2,"Male","China",64
"Andover Regional High School","Science",2,"Male","USA",26
"Newton South High School","Science",2,"Male","USA",18
"Phillips Academy","Science",2,"Male","USA",55
"Action Boxborough Regional High School","Science",2,"Male","USA",66
"Woburn Regional High School","Science",2,"Male","USA",66
"Beijing No 4 Middle School","History",2,"Male","China",76
"Hangzhou Xuejun Middle School","History",2,"Male","China",40
"Jingling High School","History",2,"Male","China",83
"Shanghai High School","History",2,"Male","China",59
"Shenzhen International Exchange School","History",2,"Male","China",64
"Andover Regional High School","History",2,"Male","USA",58
"Newton South High School","History",2,"Male","USA",66
"Phillips Academy","History",2,"Male","USA",63
"Action Boxborough Regional High School","History",2,"Male","USA",48
"Woburn Regional High School","History",2,"Male","USA",64
"Beijing No 4 Middle School","English",3,"Male","China",63
"Hangzhou Xuejun Middle School","English",3,"Male","China",70
"Jingling High School","English",3,"Male","China",56
"Shanghai High School","English",3,"Male","China",80
"Shenzhen International Exchange School","English",3,"Male","China",83
"Andover Regional High School","English",3,"Male","USA",63
"Newton South High School","English",3,"Male","USA",65
"Phillips Academy","English",3,"Male","USA",30
"Action Boxborough Regional High School","English",3,"Male","USA",66
"Woburn Regional High School","English",3,"Male","USA",75
"Beijing No 4 Middle School","Math",3,"Male","China",56
"Hangzhou Xuejun Middle School","Math",3,"Male","China",84
"Jingling High School","Math",3,"Male","China",55
"Shanghai High School","Math",3,"Male","China",73
"Shenzhen International Exchange School","Math",3,"Male","China",62
"Andover Regional High School","Math",3,"Male","USA",82
"Newton South High School","Math",3,"Male","USA",66
"Phillips Academy","Math",3,"Male","USA",43
"Action Boxborough Regional High School","Math",3,"Male","USA",80
"Woburn Regional High School","Math",3,"Male","USA",44
"Beijing No 4 Middle School","Physical Education",3,"Male","China",69
"Hangzhou Xuejun Middle School","Physical Education",3,"Male","China",74
"Jingling High School","Physical Education",3,"Male","China",78
"Shanghai High School","Physical Education",3,"Male","China",59
"Shenzhen International Exchange School","Physical Education",3,"Male","China",70
"Andover Regional High School","Physical Education",3,"Male","USA",52
"Newton South High School","Physical Education",3,"Male","USA",47
"Phillips Academy","Physical Education",3,"Male","USA",72
"Action Boxborough Regional High School","Physical Education",3,"Male","USA",100
"Woburn Regional High School","Physical Education",3,"Male","USA",34
"Beijing No 4 Middle School","Science",3,"Male","China",80
"Hangzhou Xuejun Middle School","Science",3,"Male","China",60
"Jingling High School","Science",3,"Male","China",54
"Shanghai High School","Science",3,"Male","China",95
"Shenzhen International Exchange School","Science",3,"Male","China",85
"Andover Regional High School","Science",3,"Male","USA",57
"Newton South High School","Science",3,"Male","USA",100
"Phillips Academy","Science",3,"Male","USA",61
"Action Boxborough Regional High School","Science",3,"Male","USA",80
"Woburn Regional High School","Science",3,"Male","USA",41
"Beijing No 4 Middle School","History",3,"Male","China",83
"Hangzhou Xuejun Middle School","History",3,"Male","China",66
"Jingling High School","History",3,"Male","China",60
"Shanghai High School","History",3,"Male","China",63
"Shenzhen International Exchange School","History",3,"Male","China",51
"Andover Regional High School","History",3,"Male","USA",65
"Newton South High School","History",3,"Male","USA",70
"Phillips Academy","History",3,"Male","USA",56
"Action Boxborough Regional High School","History",3,"Male","USA",100
"Woburn Regional High School","History",3,"Male","USA",66
"Beijing No 4 Middle School","English",4,"Male","China",61
"Hangzhou Xuejun Middle School","English",4,"Male","China",79
"Jingling High School","English",4,"Male","China",45
"Shanghai High School","English",4,"Male","China",79
"Shenzhen International Exchange School","English",4,"Male","China",75
"Andover Regional High School","English",4,"Male","USA",77
"Newton South High School","English",4,"Male","USA",63
"Phillips Academy","English",4,"Male","USA",61
"Action Boxborough Regional High School","English",4,"Male","USA",61
"Woburn Regional High School","English",4,"Male","USA",75
"Beijing No 4 Middle School","Math",4,"Male","China",97
"Hangzhou Xuejun Middle School","Math",4,"Male","China",50
"Jingling High School","Math",4,"Male","China",77
"Shanghai High School","Math",4,"Male","China",86
"Shenzhen International Exchange School","Math",4,"Male","China",81
"Andover Regional High School","Math",4,"Male","USA",44
"Newton South High School","Math",4,"Male","USA",65
"Phillips Academy","Math",4,"Male","USA",56
"Action Boxborough Regional High School","Math",4,"Male","USA",46
"Woburn Regional High School","Math",4,"Male","USA",69
"Beijing No 4 Middle School","Physical Education",4,"Male","China",67
"Hangzhou Xuejun Middle School","Physical Education",4,"Male","China",60
"Jingling High School","Physical Education",4,"Male","China",67
"Shanghai High School","Physical Education",4,"Male","China",95
"Shenzhen International Exchange School","Physical Education",4,"Male","China",61
"Andover Regional High School","Physical Education",4,"Male","USA",61
"Newton South High School","Physical Education",4,"Male","USA",2
"Phillips Academy","Physical Education",4,"Male","USA",100
"Action Boxborough Regional High School","Physical Education",4,"Male","USA",49
"Woburn Regional High School","Physical Education",4,"Male","USA",64
"Beijing No 4 Middle School","Science",4,"Male","China",75
"Hangzhou Xuejun Middle School","Science",4,"Male","China",77
"Jingling High School","Science",4,"Male","China",69
"Shanghai High School","Science",4,"Male","China",67
"Shenzhen International Exchange School","Science",4,"Male","China",72
"Andover Regional High School","Science",4,"Male","USA",59
"Newton South High School","Science",4,"Male","USA",43
"Phillips Academy","Science",4,"Male","USA",80
"Action Boxborough Regional High School","Science",4,"Male","USA",64
"Woburn Regional High School","Science",4,"Male","USA",66
"Beijing No 4 Middle School","History",4,"Male","China",46
"Hangzhou Xuejun Middle School","History",4,"Male","China",80
"Jingling High School","History",4,"Male","China",59
"Shanghai High School","History",4,"Male","China",71
"Shenzhen International Exchange School","History",4,"Male","China",82
"Andover Regional High School","History",4,"Male","USA",81
"Newton South High School","History",4,"Male","USA",77
"Phillips Academy","History",4,"Male","USA",58
"Action Boxborough Regional High School","History",4,"Male","USA",24
"Woburn Regional High School","History",4,"Male","USA",24
"Beijing No 4 Middle School","English",5,"Male","China",45
"Hangzhou Xuejun Middle School","English",5,"Male","China",95
"Jingling High School","English",5,"Male","China",70
"Shanghai High School","English",5,"Male","China",79
"Shenzhen International Exchange School","English",5,"Male","China",75
"Andover Regional High School","English",5,"Male","USA",100
"Newton South High School","English",5,"Male","USA",41
"Phillips Academy","English",5,"Male","USA",61
"Action Boxborough Regional High School","English",5,"Male","USA",66
"Woburn Regional High School","English",5,"Male","USA",74
"Beijing No 4 Middle School","Math",5,"Male","China",76
"Hangzhou Xuejun Middle School","Math",5,"Male","China",72
"Jingling High School","Math",5,"Male","China",83
"Shanghai High School","Math",5,"Male","China",90
"Shenzhen International Exchange School","Math",5,"Male","China",56
"Andover Regional High School","Math",5,"Male","USA",48
"Newton South High School","Math",5,"Male","USA",18
"Phillips Academy","Math",5,"Male","USA",63
"Action Boxborough Regional High School","Math",5,"Male","USA",66
"Woburn Regional High School","Math",5,"Male","USA",75
"Beijing No 4 Middle School","Physical Education",5,"Male","China",71
"Hangzhou Xuejun Middle School","Physical Education",5,"Male","China",60
"Jingling High School","Physical Education",5,"Male","China",67
"Shanghai High School","Physical Education",5,"Male","China",93
"Shenzhen International Exchange School","Physical Education",5,"Male","China",69
"Andover Regional High School","Physical Education",5,"Male","USA",64
"Newton South High School","Physical Education",5,"Male","USA",100
"Phillips Academy","Physical Education",5,"Male","USA",89
"Action Boxborough Regional High School","Physical Education",5,"Male","USA",89
"Woburn Regional High School","Physical Education",5,"Male","USA",20
"Beijing No 4 Middle School","Science",5,"Male","China",80
"Hangzhou Xuejun Middle School","Science",5,"Male","China",57
"Jingling High School","Science",5,"Male","China",47
"Shanghai High School","Science",5,"Male","China",45
"Shenzhen International Exchange School","Science",5,"Male","China",84
"Andover Regional High School","Science",5,"Male","USA",66
"Newton South High School","Science",5,"Male","USA",31
"Phillips Academy","Science",5,"Male","USA",42
"Action Boxborough Regional High School","Science",5,"Male","USA",67
"Woburn Regional High School","Science",5,"Male","USA",36
"Beijing No 4 Middle School","History",5,"Male","China",71
"Hangzhou Xuejun Middle School","History",5,"Male","China",54
"Jingling High School","History",5,"Male","China",63
"Shanghai High School","History",5,"Male","China",69
"Shenzhen International Exchange School","History",5,"Male","China",69
"Andover Regional High School","History",5,"Male","USA",28
"Newton South High School","History",5,"Male","USA",40
"Phillips Academy","History",5,"Male","USA",66
"Action Boxborough Regional High School","History",5,"Male","USA",22
"Woburn Regional High School","History",5,"Male","USA",81
"Beijing No 4 Middle School","English",6,"Male","China",21
"Hangzhou Xuejun Middle School","English",6,"Male","China",61
"Jingling High School","English",6,"Male","China",78
"Shanghai High School","English",6,"Male","China",68
"Shenzhen International Exchange School","English",6,"Male","China",65
"Andover Regional High School","English",6,"Male","USA",55
"Newton South High School","English",6,"Male","USA",66
"Phillips Academy","English",6,"Male","USA",65
"Action Boxborough Regional High School","English",6,"Male","USA",46
"Woburn Regional High School","English",6,"Male","USA",61
"Beijing No 4 Middle School","Math",6,"Male","China",75
"Hangzhou Xuejun Middle School","Math",6,"Male","China",65
"Jingling High School","Math",6,"Male","China",64
"Shanghai High School","Math",6,"Male","China",100
"Shenzhen International Exchange School","Math",6,"Male","China",84
"Andover Regional High School","Math",6,"Male","USA",37
"Newton South High School","Math",6,"Male","USA",75
"Phillips Academy","Math",6,"Male","USA",46
"Action Boxborough Regional High School","Math",6,"Male","USA",63
"Woburn Regional High School","Math",6,"Male","USA",88
"Beijing No 4 Middle School","Physical Education",6,"Male","China",89
"Hangzhou Xuejun Middle School","Physical Education",6,"Male","China",83
"Jingling High School","Physical Education",6,"Male","China",70
"Shanghai High School","Physical Education",6,"Male","China",93
"Shenzhen International Exchange School","Physical Education",6,"Male","China",59
"Andover Regional High School","Physical Education",6,"Male","USA",49
"Newton South High School","Physical Education",6,"Male","USA",91
"Phillips Academy","Physical Education",6,"Male","USA",68
"Action Boxborough Regional High School","Physical Education",6,"Male","USA",64
"Woburn Regional High School","Physical Education",6,"Male","USA",44
"Beijing No 4 Middle School","Science",6,"Male","China",61
"Hangzhou Xuejun Middle School","Science",6,"Male","China",64
"Jingling High School","Science",6,"Male","China",64
"Shanghai High School","Science",6,"Male","China",67
"Shenzhen International Exchange School","Science",6,"Male","China",72
"Andover Regional High School","Science",6,"Male","USA",59
"Newton South High School","Science",6,"Male","USA",59
"Phillips Academy","Science",6,"Male","USA",63
"Action Boxborough Regional High School","Science",6,"Male","USA",49
"Woburn Regional High School","Science",6,"Male","USA",45
"Beijing No 4 Middle School","History",6,"Male","China",71
"Hangzhou Xuejun Middle School","History",6,"Male","China",69
"Jingling High School","History",6,"Male","China",45
"Shanghai High School","History",6,"Male","China",76
"Shenzhen International Exchange School","History",6,"Male","China",98
"Andover Regional High School","History",6,"Male","USA",48
"Newton South High School","History",6,"Male","USA",58
"Phillips Academy","History",6,"Male","USA",66
"Action Boxborough Regional High School","History",6,"Male","USA",63
"Woburn Regional High School","History",6,"Male","USA",43
"Beijing No 4 Middle School","English",7,"Male","China",82
"Hangzhou Xuejun Middle School","English",7,"Male","China",73
"Jingling High School","English",7,"Male","China",62
"Shanghai High School","English",7,"Male","China",75
"Shenzhen International Exchange School","English",7,"Male","China",82
"Andover Regional High School","English",7,"Male","USA",57
"Newton South High School","English",7,"Male","USA",80
"Phillips Academy","English",7,"Male","USA",81
"Action Boxborough Regional High School","English",7,"Male","USA",89
"Woburn Regional High School","English",7,"Male","USA",61
"Beijing No 4 Middle School","Math",7,"Male","China",94
"Hangzhou Xuejun Middle School","Math",7,"Male","China",65
"Jingling High School","Math",7,"Male","China",87
"Shanghai High School","Math",7,"Male","China",100
"Shenzhen International Exchange School","Math",7,"Male","China",91
"Andover Regional High School","Math",7,"Male","USA",61
"Newton South High School","Math",7,"Male","USA",78
"Phillips Academy","Math",7,"Male","USA",49
"Action Boxborough Regional High School","Math",7,"Male","USA",46
"Woburn Regional High School","Math",7,"Male","USA",56
"Beijing No 4 Middle School","Physical Education",7,"Male","China",82
"Hangzhou Xuejun Middle School","Physical Education",7,"Male","China",69
"Jingling High School","Physical Education",7,"Male","China",65
"Shanghai High School","Physical Education",7,"Male","China",82
"Shenzhen International Exchange School","Physical Education",7,"Male","China",50
"Andover Regional High School","Physical Education",7,"Male","USA",60
"Newton South High School","Physical Education",7,"Male","USA",33
"Phillips Academy","Physical Education",7,"Male","USA",52
"Action Boxborough Regional High School","Physical Education",7,"Male","USA",27
"Woburn Regional High School","Physical Education",7,"Male","USA",77
"Beijing No 4 Middle School","Science",7,"Male","China",80
"Hangzhou Xuejun Middle School","Science",7,"Male","China",49
"Jingling High School","Science",7,"Male","China",63
"Shanghai High School","Science",7,"Male","China",64
"Shenzhen International Exchange School","Science",7,"Male","China",72
"Andover Regional High School","Science",7,"Male","USA",37
"Newton South High School","Science",7,"Male","USA",84
"Phillips Academy","Science",7,"Male","USA",49
"Action Boxborough Regional High School","Science",7,"Male","USA",100
"Woburn Regional High School","Science",7,"Male","USA",61
"Beijing No 4 Middle School","History",7,"Male","China",95
"Hangzhou Xuejun Middle School","History",7,"Male","China",67
"Jingling High School","History",7,"Male","China",66
"Shanghai High School","History",7,"Male","China",60
"Shenzhen International Exchange School","History",7,"Male","China",61
"Andover Regional High School","History",7,"Male","USA",55
"Newton South High School","History",7,"Male","USA",74
"Phillips Academy","History",7,"Male","USA",59
"Action Boxborough Regional High School","History",7,"Male","USA",63
"Woburn Regional High School","History",7,"Male","USA",55
"Beijing No 4 Middle School","English",8,"Male","China",82
"Hangzhou Xuejun Middle School","English",8,"Male","China",64
"Jingling High School","English",8,"Male","China",93
"Shanghai High School","English",8,"Male","China",93
"Shenzhen International Exchange School","English",8,"Male","China",59
"Andover Regional High School","English",8,"Male","USA",30
"Newton South High School","English",8,"Male","USA",64
"Phillips Academy","English",8,"Male","USA",75
"Action Boxborough Regional High School","English",8,"Male","USA",82
"Woburn Regional High School","English",8,"Male","USA",61
"Beijing No 4 Middle School","Math",8,"Male","China",76
"Hangzhou Xuejun Middle School","Math",8,"Male","China",94
"Jingling High School","Math",8,"Male","China",67
"Shanghai High School","Math",8,"Male","China",74
"Shenzhen International Exchange School","Math",8,"Male","China",70
"Andover Regional High School","Math",8,"Male","USA",75
"Newton South High School","Math",8,"Male","USA",84
"Phillips Academy","Math",8,"Male","USA",100
"Action Boxborough Regional High School","Math",8,"Male","USA",100
"Woburn Regional High School","Math",8,"Male","USA",81
"Beijing No 4 Middle School","Physical Education",8,"Male","China",66
"Hangzhou Xuejun Middle School","Physical Education",8,"Male","China",79
"Jingling High School","Physical Education",8,"Male","China",65
"Shanghai High School","Physical Education",8,"Male","China",65
"Shenzhen International Exchange School","Physical Education",8,"Male","China",63
"Andover Regional High School","Physical Education",8,"Male","USA",46
"Newton South High School","Physical Education",8,"Male","USA",67
"Phillips Academy","Physical Education",8,"Male","USA",73
"Action Boxborough Regional High School","Physical Education",8,"Male","USA",97
"Woburn Regional High School","Physical Education",8,"Male","USA",52
"Beijing No 4 Middle School","Science",8,"Male","China",63
"Hangzhou Xuejun Middle School","Science",8,"Male","China",57
"Jingling High School","Science",8,"Male","China",64
"Shanghai High School","Science",8,"Male","China",69
"Shenzhen International Exchange School","Science",8,"Male","China",70
"Andover Regional High School","Science",8,"Male","USA",56
"Newton South High School","Science",8,"Male","USA",66
"Phillips Academy","Science",8,"Male","USA",81
"Action Boxborough Regional High School","Science",8,"Male","USA",43
"Woburn Regional High School","Science",8,"Male","USA",83
"Beijing No 4 Middle School","History",8,"Male","China",64
"Hangzhou Xuejun Middle School","History",8,"Male","China",56
"Jingling High School","History",8,"Male","China",71
"Shanghai High School","History",8,"Male","China",79
"Shenzhen International Exchange School","History",8,"Male","China",69
"Andover Regional High School","History",8,"Male","USA",46
"Newton South High School","History",8,"Male","USA",57
"Phillips Academy","History",8,"Male","USA",75
"Action Boxborough Regional High School","History",8,"Male","USA",45
"Woburn Regional High School","History",8,"Male","USA",41
"Beijing No 4 Middle School","English",9,"Male","China",76
"Hangzhou Xuejun Middle School","English",9,"Male","China",66
"Jingling High School","English",9,"Male","China",65
"Shanghai High School","English",9,"Male","China",77
"Shenzhen International Exchange School","English",9,"Male","China",57
"Andover Regional High School","English",9,"Male","USA",49
"Newton South High School","English",9,"Male","USA",100
"Phillips Academy","English",9,"Male","USA",63
"Action Boxborough Regional High School","English",9,"Male","USA",51
"Woburn Regional High School","English",9,"Male","USA",64
"Beijing No 4 Middle School","Math",9,"Male","China",65
"Hangzhou Xuejun Middle School","Math",9,"Male","China",72
"Jingling High School","Math",9,"Male","China",66
"Shanghai High School","Math",9,"Male","China",91
"Shenzhen International Exchange School","Math",9,"Male","China",81
"Andover Regional High School","Math",9,"Male","USA",77
"Newton South High School","Math",9,"Male","USA",66
"Phillips Academy","Math",9,"Male","USA",72
"Action Boxborough Regional High School","Math",9,"Male","USA",2
"Woburn Regional High School","Math",9,"Male","USA",36
"Beijing No 4 Middle School","Physical Education",9,"Male","China",50
"Hangzhou Xuejun Middle School","Physical Education",9,"Male","China",60
"Jingling High School","Physical Education",9,"Male","China",63
"Shanghai High School","Physical Education",9,"Male","China",77
"Shenzhen International Exchange School","Physical Education",9,"Male","China",83
"Andover Regional High School","Physical Education",9,"Male","USA",90
"Newton South High School","Physical Education",9,"Male","USA",50
"Phillips Academy","Physical Education",9,"Male","USA",50
"Action Boxborough Regional High School","Physical Education",9,"Male","USA",89
"Woburn Regional High School","Physical Education",9,"Male","USA",74
"Beijing No 4 Middle School","Science",9,"Male","China",79
"Hangzhou Xuejun Middle School","Science",9,"Male","China",65
"Jingling High School","Science",9,"Male","China",67
"Shanghai High School","Science",9,"Male","China",45
"Shenzhen International Exchange School","Science",9,"Male","China",57
"Andover Regional High School","Science",9,"Male","USA",55
"Newton South High School","Science",9,"Male","USA",63
"Phillips Academy","Science",9,"Male","USA",31
"Action Boxborough Regional High School","Science",9,"Male","USA",46
"Woburn Regional High School","Science",9,"Male","USA",53
"Beijing No 4 Middle School","History",9,"Male","China",76
"Hangzhou Xuejun Middle School","History",9,"Male","China",82
"Jingling High School","History",9,"Male","China",63
"Shanghai High School","History",9,"Male","China",73
"Shenzhen International Exchange School","History",9,"Male","China",54
"Andover Regional High School","History",9,"Male","USA",65
"Newton South High School","History",9,"Male","USA",72
"Phillips Academy","History",9,"Male","USA",60
"Action Boxborough Regional High School","History",9,"Male","USA",48
"Woburn Regional High School","History",9,"Male","USA",75
"Beijing No 4 Middle School","English",10,"Male","China",85
"Hangzhou Xuejun Middle School","English",10,"Male","China",60
"Jingling High School","English",10,"Male","China",58
"Shanghai High School","English",10,"Male","China",63
"Shenzhen International Exchange School","English",10,"Male","China",61
"Andover Regional High School","English",10,"Male","USA",18
"Newton South High School","English",10,"Male","USA",46
"Phillips Academy","English",10,"Male","USA",41
"Action Boxborough Regional High School","English",10,"Male","USA",81
"Woburn Regional High School","English",10,"Male","USA",59
"Beijing No 4 Middle School","Math",10,"Male","China",82
"Hangzhou Xuejun Middle School","Math",10,"Male","China",80
"Jingling High School","Math",10,"Male","China",75
"Shanghai High School","Math",10,"Male","China",56
"Shenzhen International Exchange School","Math",10,"Male","China",91
"Andover Regional High School","Math",10,"Male","USA",66
"Newton South High School","Math",10,"Male","USA",49
"Phillips Academy","Math",10,"Male","USA",58
"Action Boxborough Regional High School","Math",10,"Male","USA",75
"Woburn Regional High School","Math",10,"Male","USA",100
"Beijing No 4 Middle School","Physical Education",10,"Male","China",63
"Hangzhou Xuejun Middle School","Physical Education",10,"Male","China",83
"Jingling High School","Physical Education",10,"Male","China",69
"Shanghai High School","Physical Education",10,"Male","China",65
"Shenzhen International Exchange School","Physical Education",10,"Male","China",58
"Andover Regional High School","Physical Education",10,"Male","USA",80
"Newton South High School","Physical Education",10,"Male","USA",100
"Phillips Academy","Physical Education",10,"Male","USA",47
"Action Boxborough Regional High School","Physical Education",10,"Male","USA",31
"Woburn Regional High School","Physical Education",10,"Male","USA",58
"Beijing No 4 Middle School","Science",10,"Male","China",59
"Hangzhou Xuejun Middle School","Science",10,"Male","China",61
"Jingling High School","Science",10,"Male","China",63
"Shanghai High School","Science",10,"Male","China",83
"Shenzhen International Exchange School","Science",10,"Male","China",95
"Andover Regional High School","Science",10,"Male","USA",100
"Newton South High School","Science",10,"Male","USA",100
"Phillips Academy","Science",10,"Male","USA",60
"Action Boxborough Regional High School","Science",10,"Male","USA",65
"Woburn Regional High School","Science",10,"Male","USA",77
"Beijing No 4 Middle School","History",10,"Male","China",45
"Hangzhou Xuejun Middle School","History",10,"Male","China",65
"Jingling High School","History",10,"Male","China",67
"Shanghai High School","History",10,"Male","China",63
"Shenzhen International Exchange School","History",10,"Male","China",66
"Andover Regional High School","History",10,"Male","USA",31
"Newton South High School","History",10,"Male","USA",63
"Phillips Academy","History",10,"Male","USA",75
"Action Boxborough Regional High School","History",10,"Male","USA",26
"Woburn Regional High School","History",10,"Male","USA",28
"Beijing No 4 Middle School","English",11,"Male","China",61
"Hangzhou Xuejun Middle School","English",11,"Male","China",79
"Jingling High School","English",11,"Male","China",69
"Shanghai High School","English",11,"Male","China",66
"Shenzhen International Exchange School","English",11,"Male","China",79
"Andover Regional High School","English",11,"Male","USA",26
"Newton South High School","English",11,"Male","USA",55
"Phillips Academy","English",11,"Male","USA",67
"Action Boxborough Regional High School","English",11,"Male","USA",66
"Woburn Regional High School","English",11,"Male","USA",40
"Beijing No 4 Middle School","Math",11,"Male","China",80
"Hangzhou Xuejun Middle School","Math",11,"Male","China",81
"Jingling High School","Math",11,"Male","China",66
"Shanghai High School","Math",11,"Male","China",90
"Shenzhen International Exchange School","Math",11,"Male","China",75
"Andover Regional High School","Math",11,"Male","USA",58
"Newton South High School","Math",11,"Male","USA",43
"Phillips Academy","Math",11,"Male","USA",63
"Action Boxborough Regional High School","Math",11,"Male","USA",64
"Woburn Regional High School","Math",11,"Male","USA",61
"Beijing No 4 Middle School","Physical Education",11,"Male","China",73
"Hangzhou Xuejun Middle School","Physical Education",11,"Male","China",69
"Jingling High School","Physical Education",11,"Male","China",94
"Shanghai High School","Physical Education",11,"Male","China",69
"Shenzhen International Exchange School","Physical Education",11,"Male","China",82
"Andover Regional High School","Physical Education",11,"Male","USA",64
"Newton South High School","Physical Education",11,"Male","USA",50
"Phillips Academy","Physical Education",11,"Male","USA",53
"Action Boxborough Regional High School","Physical Education",11,"Male","USA",67
"Woburn Regional High School","Physical Education",11,"Male","USA",20
"Beijing No 4 Middle School","Science",11,"Male","China",79
"Hangzhou Xuejun Middle School","Science",11,"Male","China",51
"Jingling High School","Science",11,"Male","China",71
"Shanghai High School","Science",11,"Male","China",93
"Shenzhen International Exchange School","Science",11,"Male","China",74
"Andover Regional High School","Science",11,"Male","USA",61
"Newton South High School","Science",11,"Male","USA",24
"Phillips Academy","Science",11,"Male","USA",66
"Action Boxborough Regional High School","Science",11,"Male","USA",59
"Woburn Regional High School","Science",11,"Male","USA",63
"Beijing No 4 Middle School","History",11,"Male","China",54
"Hangzhou Xuejun Middle School","History",11,"Male","China",67
"Jingling High School","History",11,"Male","China",61
"Shanghai High School","History",11,"Male","China",69
"Shenzhen International Exchange School","History",11,"Male","China",80
"Andover Regional High School","History",11,"Male","USA",75
"Newton South High School","History",11,"Male","USA",60
"Phillips Academy","History",11,"Male","USA",66
"Action Boxborough Regional High School","History",11,"Male","USA",100
"Woburn Regional High School","History",11,"Male","USA",74
"Beijing No 4 Middle School","English",12,"Male","China",46
"Hangzhou Xuejun Middle School","English",12,"Male","China",82
"Jingling High School","English",12,"Male","China",67
"Shanghai High School","English",12,"Male","China",76
"Shenzhen International Exchange School","English",12,"Male","China",68
"Andover Regional High School","English",12,"Male","USA",36
